SubscriptionID,CustomerID,CustomerName,Email,Country,Plan,BillingCycle,SubscriptionStartDate,SubscriptionEndDate,Status,AutoRenew,PaymentMethod,DiscountPercent,AmountPaidUSD,SignupChannel,LastUpdated
SUB019558,C019558,Sophia Chopra,sophiachopra19558@gmail.com,USA,Enterprise,Quarterly,26-04-2022,,Active,No,PayPal,0,299.97,Mobile App,20-05-2022
SUB016651,C016651,Isha Nair,ishanair16651@gmail.com,India,Basic,Quarterly,08-05-2024,,Active,Yes,PayPal,20,23.98,Mobile App,06-06-2024
SUB011959,C011959,Ethan Smith,ethansmith11959@yahoo.com,Canada,Enterprise,Monthly,01-08-2022,,Active,Yes,Credit Card,0,99.99,Mobile App,13-09-2022
SUB014395,C014395,Ava Brown,avabrown14395@gmail.com,Australia,Premium,Quarterly,07-06-2025,,Active,Yes,Bank Transfer,5,113.97,Mobile App,13-06-2025
SUB013093,C013093,Meera Verma,meeraverma13093@company.com,Canada,Standard,Quarterly,05-06-2025,03-09-2025,Paused,No,UPI,0,59.97,Web,13-08-2025
SUB011181,C011181,Ethan Davis,ethandavis11181@outlook.com,Germany,Enterprise,Quarterly,09-04-2023,,Active,Yes,Debit Card,0,299.97,Sales,21-05-2023
SUB010316,C010316,Priya Bhat,priyabhat10316@yahoo.com,India,Basic,Quarterly,13-11-2023,,Active,Yes,Bank Transfer,10,26.97,Mobile App,10-12-2023
SUB014281,C014281,Noah Taylor,noahtaylor14281@yahoo.com,UK,Standard,Monthly,01-04-2023,01-05-2023,Expired,No,Debit Card,0,19.99,Partner,12-04-2023
SUB000525,C000525,Aditya Anderson,adityaanderson525@outlook.com,India,Premium,Yearly,21-10-2023,15-10-2024,Cancelled,No,Bank Transfer,15,407.9,Mobile App,17-01-2024
SUB004408,C004408,Riya Patel,riyapatel4408@yahoo.com,India,Standard,Yearly,21-12-2022,,Active,No,Credit Card,10,215.89,Partner,13-03-2023
SUB019620,C019620,Manish Patel,manishpatel19620@outlook.com,India,Basic,Quarterly,26-04-2022,,Active,Yes,Credit Card,0,29.97,Partner,23-06-2022
SUB002087,C002087,Emma Moore,emmamoore2087@hotmail.com,Singapore,Standard,Quarterly,09-06-2024,07-09-2024,Paused,No,Debit Card,0,59.97,Sales,26-07-2024
SUB012635,C012635,Rohit Brown,rohitbrown12635@company.com,France,Standard,Yearly,16-09-2025,,Active,No,Credit Card,5,227.89,Web,19-11-2025
SUB004695,C004695,Riya Das,riyadas4695@company.com,Canada,Premium,Quarterly,09-06-2023,07-09-2023,Expired,No,Credit Card,10,107.97,Mobile App,26-06-2023
SUB019794,C019794,Amit Iyer,amitiyer19794@company.com,Canada,Standard,Monthly,15-09-2025,15-10-2025,Cancelled,No,PayPal,15,16.99,Partner,30-11-2025
SUB007987,C007987,Noah Jain,noahjain7987@company.com,UAE,Standard,Monthly,21-01-2023,,Active,Yes,UPI,0,19.99,Mobile App,09-03-2023
SUB012481,C012481,Arjun Khan,arjunkhan12481@gmail.com,Singapore,Standard,Monthly,25-02-2025,,Active,Yes,UPI,20,15.99,Sales,26-02-2025
SUB007314,C007314,Divya Smith,divyasmith7314@company.com,Singapore,Basic,Quarterly,30-11-2025,28-02-2026,Paused,No,Bank Transfer,0,29.97,Partner,25-12-2025
SUB003315,C003315,Amit Khan,amitkhan3315@hotmail.com,India,Basic,Yearly,21-06-2023,15-06-2024,Cancelled,No,Bank Transfer,10,107.89,Web,20-07-2023
SUB014110,C014110,Ava Reddy,avareddy14110@hotmail.com,India,Premium,Quarterly,10-06-2023,,Active,Yes,NetBanking,5,113.97,Mobile App,25-07-2023
SUB000171,C000171,Rahul Saxena,rahulsaxena171@outlook.com,Singapore,Enterprise,Yearly,30-07-2022,25-07-2023,Paused,No,PayPal,5,1139.89,Partner,15-10-2022
SUB019089,C019089,Sneha Nair,snehanair19089@hotmail.com,Germany,Basic,Yearly,03-02-2024,,Active,No,Bank Transfer,20,95.9,Partner,03-03-2024
SUB001666,C001666,Isha Brown,ishabrown1666@hotmail.com,USA,Enterprise,Monthly,29-12-2024,,Active,Yes,UPI,20,79.99,Mobile App,25-02-2025
SUB019613,C019613,Priya Khan,priyakhan19613@company.com,Singapore,Basic,Quarterly,17-01-2025,,Active,Yes,Debit Card,0,29.97,Mobile App,18-03-2025
SUB010165,C010165,Sophia Nair,sophianair10165@hotmail.com,Canada,Enterprise,Monthly,15-11-2023,,Active,Yes,PayPal,0,99.99,Mobile App,29-01-2024
SUB019410,C019410,Sneha Gupta,snehagupta19410@gmail.com,UK,Standard,Monthly,09-05-2025,08-06-2025,Paused,No,Credit Card,10,17.99,Sales,30-07-2025
SUB008338,C008338,Isabella Patel,isabellapatel8338@company.com,Singapore,Premium,Yearly,26-08-2022,,Active,No,Credit Card,5,455.89,Partner,18-11-2022
SUB008736,C008736,Ava Mehta,avamehta8736@gmail.com,France,Premium,Quarterly,13-12-2024,,Active,Yes,Credit Card,0,119.97,Partner,20-01-2025
SUB009572,C009572,Kiran Wilson,kiranwilson9572@outlook.com,Singapore,Standard,Yearly,11-07-2025,06-07-2026,Paused,No,NetBanking,5,227.89,Partner,20-07-2025
SUB002376,C002376,Arjun Nair,arjunnair2376@hotmail.com,Canada,Standard,Monthly,18-11-2024,18-12-2024,Expired,No,Debit Card,5,18.99,Web,21-01-2025
SUB014782,C014782,Ethan Malhotra,ethanmalhotra14782@yahoo.com,India,Premium,Monthly,18-11-2022,18-12-2022,Expired,No,PayPal,0,39.99,Mobile App,24-11-2022
SUB019814,C019814,Nikhil Verma,nikhilverma19814@outlook.com,France,Standard,Yearly,22-02-2023,,Active,No,NetBanking,10,215.89,Sales,26-03-2023
SUB014010,C014010,Vikram Singh,vikramsingh14010@gmail.com,Singapore,Enterprise,Monthly,29-07-2025,28-08-2025,Cancelled,No,Debit Card,5,94.99,Web,20-09-2025
SUB005181,C005181,Aditya Jackson,adityajackson5181@gmail.com,Germany,Standard,Monthly,02-05-2025,01-06-2025,Cancelled,No,Debit Card,0,19.99,Web,17-07-2025
SUB018900,C018900,Amit Bose,amitbose18900@yahoo.com,Singapore,Enterprise,Yearly,12-06-2024,07-06-2025,Expired,No,UPI,0,1199.88,Web,22-06-2024
SUB004502,C004502,Isabella Anderson,isabellaanderson4502@gmail.com,Singapore,Enterprise,Yearly,30-12-2025,25-12-2026,Cancelled,No,UPI,20,959.9,Partner,22-01-2026
SUB017027,C017027,Saurav Smith,sauravsmith17027@gmail.com,UK,Premium,Monthly,26-05-2023,,Active,Yes,UPI,0,39.99,Web,27-06-2023
SUB019307,C019307,Isabella Bose,isabellabose19307@company.com,Singapore,Enterprise,Monthly,23-11-2023,,Active,Yes,NetBanking,10,89.99,Sales,06-12-2023
SUB019496,C019496,Ananya Thomas,ananyathomas19496@company.com,Canada,Enterprise,Quarterly,23-01-2022,23-04-2022,Cancelled,No,Bank Transfer,0,299.97,Partner,27-01-2022
SUB006820,C006820,Mason Bhat,masonbhat6820@outlook.com,Australia,Enterprise,Monthly,28-09-2025,,Active,Yes,NetBanking,10,89.99,Sales,08-10-2025
SUB014747,C014747,Olivia Khan,oliviakhan14747@hotmail.com,Canada,Enterprise,Yearly,31-07-2024,,Active,No,Credit Card,0,1199.88,Mobile App,17-08-2024
SUB000331,C000331,Rohit Thomas,rohitthomas331@company.com,UK,Standard,Quarterly,09-04-2023,,Active,No,PayPal,0,59.97,Mobile App,20-05-2023
SUB001281,C001281,Olivia Chopra,oliviachopra1281@hotmail.com,Singapore,Basic,Quarterly,22-06-2025,,Active,Yes,Bank Transfer,0,29.97,Web,12-08-2025
SUB015985,C015985,Arjun Kapoor,arjunkapoor15985@company.com,India,Basic,Quarterly,11-06-2025,,Active,No,Bank Transfer,0,29.97,Sales,07-08-2025
SUB002354,C002354,Vikram Moore,vikrammoore2354@company.com,Singapore,Enterprise,Quarterly,13-04-2024,,Active,Yes,Bank Transfer,10,269.97,Partner,06-07-2024
SUB011642,C011642,Arjun Davis,arjundavis11642@gmail.com,Australia,Standard,Monthly,03-07-2023,02-08-2023,Cancelled,No,UPI,0,19.99,Partner,16-09-2023
SUB015262,C015262,Sophia Sharma,sophiasharma15262@company.com,Australia,Basic,Quarterly,26-11-2022,,Active,Yes,Bank Transfer,0,29.97,Mobile App,10-12-2022
SUB010744,C010744,Liam Thomas,liamthomas10744@company.com,India,Standard,Monthly,28-06-2025,,Active,Yes,Credit Card,15,16.99,Partner,05-09-2025
SUB009165,C009165,Divya Jackson,divyajackson9165@outlook.com,USA,Premium,Monthly,26-11-2024,,Active,Yes,PayPal,0,39.99,Partner,22-12-2024
SUB007683,C007683,Amit Jain,amitjain7683@yahoo.com,Germany,Standard,Monthly,20-10-2024,,Active,Yes,Credit Card,0,19.99,Mobile App,10-01-2025
SUB001414,C001414,Pooja Joshi,poojajoshi1414@outlook.com,UAE,Standard,Quarterly,06-11-2023,,Active,No,UPI,0,59.97,Sales,16-11-2023
SUB007135,C007135,Amit Saxena,amitsaxena7135@gmail.com,UAE,Premium,Monthly,17-08-2024,16-09-2024,Cancelled,No,NetBanking,0,39.99,Web,18-08-2024
SUB005833,C005833,Saurav Nair,sauravnair5833@yahoo.com,UK,Basic,Monthly,15-06-2024,,Active,Yes,Bank Transfer,0,9.99,Partner,17-06-2024
SUB011846,C011846,Mason Singh,masonsingh11846@outlook.com,Canada,Standard,Yearly,04-09-2023,29-08-2024,Paused,No,UPI,0,239.88,Partner,21-10-2023
SUB017746,C017746,Rahul Mehta,rahulmehta17746@gmail.com,Canada,Enterprise,Yearly,17-12-2025,12-12-2026,Cancelled,No,PayPal,5,1139.89,Partner,05-03-2026
SUB001371,C001371,Aditya Singh,adityasingh1371@outlook.com,UK,Premium,Quarterly,29-05-2024,,Active,Yes,Credit Card,15,101.97,Sales,13-06-2024
SUB011581,C011581,Divya Khan,divyakhan11581@yahoo.com,Singapore,Enterprise,Monthly,20-08-2024,,Active,Yes,NetBanking,0,99.99,Partner,15-11-2024
SUB002630,C002630,Divya Reddy,divyareddy2630@yahoo.com,Australia,Standard,Yearly,19-12-2024,,Active,No,NetBanking,0,239.88,Partner,25-02-2025
SUB017875,C017875,John Saxena,johnsaxena17875@hotmail.com,India,Basic,Quarterly,03-05-2023,,Active,Yes,UPI,15,25.47,Mobile App,24-05-2023
SUB004627,C004627,Ananya Das,ananyadas4627@outlook.com,UAE,Standard,Quarterly,22-11-2024,20-02-2025,Cancelled,No,UPI,5,56.97,Mobile App,06-12-2024
SUB012071,C012071,Arjun Saxena,arjunsaxena12071@outlook.com,UK,Enterprise,Yearly,02-08-2025,,Active,No,Credit Card,5,1139.89,Mobile App,18-09-2025
SUB008667,C008667,Rahul Saxena,rahulsaxena8667@hotmail.com,USA,Basic,Quarterly,16-02-2025,,Active,Yes,Debit Card,0,29.97,Partner,12-05-2025
SUB012067,C012067,Aditya Khan,adityakhan12067@hotmail.com,India,Basic,Yearly,20-01-2025,,Active,No,PayPal,5,113.89,Sales,08-02-2025
SUB001157,C001157,Saurav Davis,sauravdavis1157@gmail.com,Germany,Basic,Monthly,15-02-2025,,Active,Yes,Debit Card,0,9.99,Web,22-04-2025
SUB017657,C017657,Sophia Davis,sophiadavis17657@company.com,Australia,Premium,Yearly,07-05-2022,,Active,No,NetBanking,0,479.88,Sales,13-07-2022
SUB001413,C001413,Aditya Roy,adityaroy1413@yahoo.com,Canada,Basic,Quarterly,07-02-2025,08-05-2025,Cancelled,No,UPI,0,29.97,Sales,29-03-2025
SUB005750,C005750,Isabella Chopra,isabellachopra5750@outlook.com,UAE,Standard,Quarterly,23-02-2025,,Active,Yes,NetBanking,5,56.97,Partner,10-05-2025
SUB018369,C018369,Arjun Iyer,arjuniyer18369@company.com,France,Basic,Yearly,03-02-2025,,Active,No,NetBanking,0,119.88,Web,30-03-2025
SUB014892,C014892,Kiran Verma,kiranverma14892@company.com,France,Basic,Monthly,03-10-2025,,Active,Yes,Bank Transfer,10,8.99,Web,05-11-2025
SUB001412,C001412,Saurav Roy,sauravroy1412@yahoo.com,USA,Basic,Monthly,11-11-2023,11-12-2023,Cancelled,No,Bank Transfer,20,7.99,Web,30-01-2024
SUB018459,C018459,Sophia Smith,sophiasmith18459@company.com,USA,Enterprise,Yearly,29-07-2022,24-07-2023,Expired,No,UPI,0,1199.88,Mobile App,25-09-2022
SUB008794,C008794,Divya Smith,divyasmith8794@gmail.com,Singapore,Enterprise,Quarterly,17-06-2023,15-09-2023,Cancelled,No,Debit Card,15,254.97,Sales,08-09-2023
SUB001191,C001191,Noah Smith,noahsmith1191@outlook.com,Germany,Premium,Quarterly,29-03-2022,,Active,No,Bank Transfer,10,107.97,Mobile App,22-04-2022
SUB016764,C016764,Pooja Roy,poojaroy16764@hotmail.com,Australia,Premium,Monthly,29-03-2022,,Active,Yes,Bank Transfer,0,39.99,Web,06-05-2022
SUB009233,C009233,Isabella Davis,isabelladavis9233@gmail.com,Canada,Enterprise,Monthly,16-07-2022,15-08-2022,Cancelled,No,Debit Card,0,99.99,Web,17-08-2022
SUB018292,C018292,Rahul Bose,rahulbose18292@company.com,France,Basic,Quarterly,26-11-2022,,Active,Yes,Credit Card,0,29.97,Sales,04-02-2023
SUB005676,C005676,Rohit Joshi,rohitjoshi5676@hotmail.com,India,Enterprise,Monthly,22-04-2022,,Active,Yes,NetBanking,0,99.99,Mobile App,30-06-2022
SUB012245,C012245,Ethan Johnson,ethanjohnson12245@outlook.com,USA,Standard,Quarterly,12-04-2023,11-07-2023,Expired,No,UPI,0,59.97,Mobile App,14-06-2023
SUB010094,C010094,Ethan Kapoor,ethankapoor10094@company.com,Singapore,Premium,Quarterly,01-01-2022,,Active,Yes,Debit Card,0,119.97,Web,27-01-2022
SUB019936,C019936,Priya Singh,priyasingh19936@yahoo.com,Germany,Basic,Yearly,02-01-2023,,Active,No,Debit Card,0,119.88,Web,11-03-2023
SUB005516,C005516,Neha Smith,nehasmith5516@company.com,USA,Basic,Yearly,16-02-2023,,Active,No,NetBanking,0,119.88,Mobile App,09-05-2023
SUB014535,C014535,Aditya Malhotra,adityamalhotra14535@outlook.com,USA,Basic,Quarterly,13-05-2025,11-08-2025,Paused,No,Credit Card,0,29.97,Sales,02-07-2025
SUB013555,C013555,Mason Singh,masonsingh13555@gmail.com,France,Premium,Monthly,02-10-2024,,Active,Yes,Credit Card,5,37.99,Mobile App,22-11-2024
SUB008641,C008641,Nikhil Verma,nikhilverma8641@yahoo.com,UK,Basic,Quarterly,16-05-2022,,Active,No,Credit Card,0,29.97,Mobile App,22-06-2022
SUB019277,C019277,Manish Das,manishdas19277@yahoo.com,Singapore,Standard,Yearly,22-03-2022,,Active,No,Bank Transfer,15,203.9,Web,05-05-2022
SUB003773,C003773,Sophia Bhat,sophiabhat3773@hotmail.com,USA,Premium,Quarterly,04-03-2022,,Active,Yes,UPI,0,119.97,Partner,11-05-2022
SUB004040,C004040,Sneha Brown,snehabrown4040@gmail.com,France,Standard,Monthly,01-12-2025,,Active,Yes,Debit Card,15,16.99,Partner,14-02-2026
SUB016102,C016102,Meera Mehta,meeramehta16102@gmail.com,Australia,Basic,Monthly,28-02-2025,,Active,Yes,Credit Card,5,9.49,Sales,12-04-2025
SUB017722,C017722,Pooja Bose,poojabose17722@yahoo.com,UK,Standard,Quarterly,16-12-2025,,Active,Yes,Debit Card,10,53.97,Web,08-02-2026
SUB019540,C019540,Pooja Singh,poojasingh19540@hotmail.com,UAE,Premium,Monthly,26-07-2024,,Active,Yes,Debit Card,5,37.99,Web,20-08-2024
SUB002443,C002443,Isabella Reddy,isabellareddy2443@company.com,USA,Enterprise,Monthly,02-05-2023,,Active,Yes,PayPal,5,94.99,Web,06-07-2023
SUB008834,C008834,Mason Malhotra,masonmalhotra8834@gmail.com,France,Premium,Monthly,08-03-2025,,Active,Yes,NetBanking,0,39.99,Partner,28-04-2025
SUB013118,C013118,Arjun Reddy,arjunreddy13118@yahoo.com,France,Premium,Yearly,05-12-2023,,Active,No,Bank Transfer,15,407.9,Web,29-12-2023
SUB005807,C005807,Ananya Bhat,ananyabhat5807@yahoo.com,UK,Standard,Monthly,08-05-2024,07-06-2024,Paused,No,Bank Transfer,15,16.99,Sales,09-05-2024
SUB003450,C003450,Neha Mehta,nehamehta3450@gmail.com,Australia,Premium,Monthly,24-08-2023,23-09-2023,Expired,No,UPI,0,39.99,Sales,11-10-2023
SUB008336,C008336,Vikram Reddy,vikramreddy8336@hotmail.com,India,Basic,Monthly,13-01-2025,,Active,Yes,PayPal,15,8.49,Web,31-01-2025
SUB011691,C011691,Kiran Patel,kiranpatel11691@outlook.com,UAE,Premium,Monthly,04-06-2023,,Active,Yes,PayPal,0,39.99,Web,25-07-2023
SUB005960,C005960,Noah Saxena,noahsaxena5960@gmail.com,Canada,Standard,Quarterly,10-07-2023,08-10-2023,Cancelled,No,Debit Card,15,50.97,Sales,22-08-2023
SUB017742,C017742,Amit Saxena,amitsaxena17742@gmail.com,UK,Enterprise,Monthly,23-03-2025,,Active,Yes,Credit Card,10,89.99,Sales,07-06-2025
SUB000544,C000544,Nikhil Jain,nikhiljain544@gmail.com,USA,Basic,Quarterly,03-04-2022,,Active,Yes,NetBanking,0,29.97,Partner,22-06-2022
SUB011602,C011602,Riya Jain,riyajain11602@hotmail.com,France,Premium,Yearly,17-08-2024,12-08-2025,Cancelled,No,PayPal,0,479.88,Mobile App,25-08-2024
SUB004982,C004982,Amit Taylor,amittaylor4982@company.com,Canada,Premium,Monthly,06-12-2022,,Active,Yes,PayPal,15,33.99,Sales,08-12-2022
SUB001367,C001367,Kunal Malhotra,kunalmalhotra1367@hotmail.com,UAE,Premium,Quarterly,16-05-2024,,Active,Yes,Debit Card,0,119.97,Mobile App,28-05-2024
SUB001562,C001562,Vikram Roy,vikramroy1562@outlook.com,UK,Basic,Monthly,14-03-2022,,Active,Yes,UPI,0,9.99,Mobile App,01-06-2022
SUB000726,C000726,Kiran Khan,kirankhan726@hotmail.com,Australia,Standard,Yearly,05-05-2023,,Active,No,Credit Card,5,227.89,Mobile App,01-07-2023
SUB005325,C005325,Kiran Smith,kiransmith5325@hotmail.com,Germany,Enterprise,Monthly,25-02-2022,27-03-2022,Paused,No,PayPal,0,99.99,Partner,05-05-2022
SUB005815,C005815,Rahul Verma,rahulverma5815@hotmail.com,Canada,Enterprise,Monthly,03-11-2022,,Active,Yes,Bank Transfer,0,99.99,Mobile App,11-12-2022
SUB001651,C001651,Ananya Johnson,ananyajohnson1651@hotmail.com,France,Premium,Yearly,21-07-2022,,Active,No,PayPal,0,479.88,Mobile App,27-07-2022
SUB004455,C004455,Riya Chopra,riyachopra4455@gmail.com,India,Premium,Yearly,22-12-2024,17-12-2025,Expired,No,NetBanking,5,455.89,Partner,15-01-2025
SUB014432,C014432,Vikram Roy,vikramroy14432@hotmail.com,Canada,Enterprise,Quarterly,07-06-2024,05-09-2024,Cancelled,No,Credit Card,10,269.97,Partner,15-08-2024
SUB017667,C017667,Ananya Jackson,ananyajackson17667@outlook.com,UK,Basic,Yearly,17-06-2024,12-06-2025,Expired,No,Credit Card,0,119.88,Web,08-07-2024
SUB014126,C014126,Neha Moore,nehamoore14126@gmail.com,USA,Basic,Yearly,25-06-2024,,Active,No,Bank Transfer,0,119.88,Web,16-07-2024
SUB006386,C006386,Isha Bhat,ishabhat6386@outlook.com,UK,Basic,Monthly,08-09-2022,,Active,Yes,Credit Card,5,9.49,Mobile App,05-10-2022
SUB009463,C009463,Noah Gupta,noahgupta9463@company.com,USA,Basic,Quarterly,30-10-2024,28-01-2025,Cancelled,No,PayPal,0,29.97,Web,20-12-2024
SUB001650,C001650,Vikram Joshi,vikramjoshi1650@yahoo.com,USA,Enterprise,Quarterly,05-10-2023,03-01-2024,Cancelled,No,Bank Transfer,0,299.97,Mobile App,22-11-2023
SUB010913,C010913,Sophia Nair,sophianair10913@yahoo.com,Germany,Basic,Monthly,29-10-2024,,Active,No,PayPal,0,9.99,Sales,17-12-2024
SUB002620,C002620,Amit Patel,amitpatel2620@gmail.com,Singapore,Premium,Quarterly,24-11-2025,22-02-2026,Cancelled,No,Bank Transfer,10,107.97,Mobile App,13-12-2025
SUB012627,C012627,Isabella Singh,isabellasingh12627@outlook.com,France,Premium,Yearly,03-09-2023,,Active,No,PayPal,5,455.89,Partner,27-09-2023
SUB013650,C013650,Divya Anderson,divyaanderson13650@outlook.com,Canada,Premium,Monthly,10-09-2025,,Active,Yes,NetBanking,0,39.99,Web,09-11-2025
SUB013702,C013702,Ava Anderson,avaanderson13702@yahoo.com,USA,Enterprise,Quarterly,24-01-2025,,Active,Yes,Bank Transfer,0,299.97,Sales,17-03-2025
SUB007887,C007887,Liam Moore,liammoore7887@company.com,India,Basic,Quarterly,05-05-2022,,Active,Yes,Credit Card,0,29.97,Mobile App,10-06-2022
SUB004171,C004171,Rohit Smith,rohitsmith4171@company.com,UAE,Basic,Quarterly,04-10-2024,02-01-2025,Expired,No,PayPal,0,29.97,Partner,16-12-2024
SUB003740,C003740,Divya Davis,divyadavis3740@company.com,Singapore,Standard,Monthly,02-04-2024,,Active,No,Credit Card,10,17.99,Sales,13-05-2024
SUB011033,C011033,Divya Joshi,divyajoshi11033@hotmail.com,France,Standard,Monthly,02-08-2024,,Active,Yes,PayPal,0,19.99,Web,17-08-2024
